"Marca temporal","CONSENTIMIENTO INFORMADO: Otorgo mi consentimiento para que mis respuestas y la información vertida aquí pueda ser utilizada con fines científicos, académicos y de investigación, en pro de mejorar el proceso de enseñanza aprendizaje de los estudiantes, así mismo, expreso que acepto participar de manera libre y voluntaria en éste trabajo.","Grupo y Subgrupo","Sexo:","Edad (agregar solo el número, sin la palabra ""años""):","¿Participas en las sesiones de simulación del laboratorio o taller de fisiopatología?","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Experiencia en general]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de mi confianza]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación entre compañeros]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación con el docente]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades técnicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades clínicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi toma de decisiones]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi razonamiento]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi seguridad]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi pensamiento crítico]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi atención en clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi motivación para la clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi participación]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Trabajo en equipo]","¿Considera que la implementación de estrategias innovadoras, como la simulación, en el proceso de enseñanza-aprendizaje en medicina resulta positiva?","¿Porqué?","De manera breve indique ¿Cuál considera que sea el inconveniente más importante al tratar de implementar el aprendizaje basado en simulación?","¿Consideras que existe una diferencia positiva en la adquisición de conocimientos al implementar la simulación?","¿Consideras que tu promedio del curso podría mejorar al implementar la simulación?","¿Consideras apropiados, positivo y pertinente seguir empleado la simulación en los cursos?","¿Consideras que la retroalimentación posterior a la simulación es indispensable (debriefing) para el logro de los objetivos?","¿Los casos simulados son coherentes con las clases de teoría?","¿Que tan importante consideras que es la capacitación docente para el logro de los objetivos en la simulación?","Algún comentario que quiera agregar para la mejora de estas clases ","De manera general, ¿En base a qué seleccionas el lugar donde te sientas en el espacio de enseñanza (aula, salón, taller, laboratorio)?","En el espacio de enseñanza del curso de Fisiopatología, las sillas permiten estar de manera cercana a tus compañeros, ¿que te parece ésta situación?","Indica cuales son los aspectos que consideras que mejoran cuando te encuentras cerca de tus compañeros, en un espacio cercano, frente a frente o a lado tuyo, como en el caso del acomodo de las sillas en el curso de Fisiopatología (puedes seleccionar más de una y/o agregar las que desees)","Indica cuales son los aspectos negativos que consideras que se presentan cuando te encuentras cerca de tus compañeros en un espacio cercano en el aula, como en el caso acomodo de las sillas en el curso de Fisiopatología"
"2024/03/17 12:09:06 p. m. GMT-6","Acepto","442-3","Femenino","25","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Me exige llegar a otro nivel, donde con la práctica debo integrar lo aprendido y/o me hace ver que áreas debo trabajar o pulir ","Los insumos y el tiempo que lleva observar a cada practicante , ya que esto hace temas cortos con poca retroalimentación. ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Exija más conocimiento, podemos dar más. ","Donde tengo mas compromiso","Buena estrategia","Discusión grupal;Participación;A veces me distrae ","A veces me distrae"
"2024/03/17 12:14:15 p. m. GMT-6","Acepto","441-3","Femenino","19","","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","3 Regular","5 Excelente","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","3 Regular","4 Buena","Completamente de acuerdo","La simulación genera experiencias que son más difíciles de olvidar.","Genera vacantes al ser más subgrupos","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Me da igual","Estado de ánimo;Compañerismo","Ninguno, solo la puerta que rechina cada que entran o salen en medio de la clase"
"2024/03/17 12:23:06 p. m. GMT-6","Acepto","441 Subgrupo 2 ","Masculino","19","","3 Regular","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","3 Regular","3 Regular","De acuerdo","Ya que te pone en situaciones en las que debemos actuar, desarrollando un pensamiento crítico pero también una rapidez en los movimientos, algo que sin implementar esas estrategias sólo estaríamos escuchando una clase sentados sin poner en práctica los conocimientos adquiridos. ","Ninguno ","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Regular","Importante","Algunas veces se desvía mucho la clase por hablar de otros temas ajenos al tema que se está viendo. ","Donde escucho o veo mejor","Es incómodo en algunas ocasiones sobre todo por el tamaño del aula ","Comunicación;Discusión grupal","Te distraes con mayor facilidad "
"2024/03/17 12:35:46 p. m. GMT-6","Acepto","443-2","Femenino","22","","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","De acuerdo","ya que las practicas suma a tu conocimiento","tecnologia ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Regular","De acuerdo","Muy importante","","Donde escucho o veo mejor","Estoy en contra de esta estrategia de acomodo de sillas","Confianza;Comunicación;Motivación;Discusión grupal;Participación","menor estado de concentracion ya que por un comentario se puede interactuar y se distraen los compañeros "
"2024/03/17 12:56:46 p. m. GMT-6","Acepto","441-2","Masculino","19","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","Completamente de acuerdo","Nos permite aplicar lo aprendido y soltarnos más con el paciente.","...","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","","Donde están mis amigos","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Estado de ánimo;Empatía;Compañerismo","De momento no encuentro a ninguno"
"2024/03/17 1:09:21 p. m. GMT-6","Acepto","441-1","Femenino","21","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Convierte la clase en una forma de aprender más didáctica sin el temor a equivocarnos ","El audio entre ambas habitaciones ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Estado de ánimo;Empatía;Compañerismo;Discusión grupal","No encuentro ningún aspecto negativo "
"2024/03/17 2:19:36 p. m. GMT-6","Acepto","442-1","Masculino","22","","4 Buena","5 Excelente","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","Completamente de acuerdo","porque la medicina es practica","no saber como abordar el tema de manera adecuada ","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Para estar cerca del docente","Buena estrategia","Confianza;Comunicación;Concentración;Aprendizaje significativo;Compañerismo;Participación","ninguno"
"2024/03/17 3:09:56 p. m. GMT-6","Acepto","442-1","Masculino","19","","5 Excelente","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","5 Excelente","3 Regular","5 Excelente","5 Excelente","5 Excelente","3 Regular","4 Buena","De acuerdo","Porque nos da una pequeña base de lo que se debe realizar en situaciones que enfrentaremos más adelante ","A mi parecer desenvolverse para realizar la simulación puede llegar a ser complicado para ciertos compañeros que son más tímidos e introvertidos","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Importante","En general todo bien, tal vez dar un pequeño repaso del caso antes de la simulación ","Donde no me cause estrés","Me da igual","Confianza;Comunicación;Estado de ánimo;Discusión grupal","Algunos compañeros distraen porque se encuentran platicando y no necesariamente del tema"
"2024/03/17 3:28:46 p. m. GMT-6","Acepto","441-3","Femenino","20","","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","4 Buena","3 Regular","4 Buena","De acuerdo","me ayuda a prestar más atención y a mejorar mi entendimiento en clase de teoría ","explicación detallada ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","ninguno ","Donde no me cause estrés","Buena estrategia","Confianza;Comunicación;Motivación;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","en ovaciones hablan de otras cosas y me distraigo más fácil "
"2024/03/17 3:35:08 p. m. GMT-6","Acepto","441-1","Femenino","23","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Porque se asimilan las aptitudes que se tendrán en prácticas hospitalarias y un mejor razonamiento al practicar continuamente métodos de acción con el conocimiento visto en clases.","Los estudiantes que no estén acostumbrados a este método de enseñanza y que desconozcan como lograr desenvolverse.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Infraestructura, ya que sería de apoyo un audio más fluido entre las aulas.","Donde escucho o veo mejor","Buena estrategia","Comunicación;Empatía;Compañerismo;Discusión grupal;Participación","El espacio reducido para pasar al baño en caso de ir, las sillas no cubren toda la espalda entonces es fácil que se deban inclinar al doblar la espalda y no ver el pizarrón."
"2024/03/17 3:36:31 p. m. GMT-6","Acepto","441-2","Femenino","21","","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","De acuerdo","Es una dinámica mas interactiva y siento que te da una idea mas realista a como será dar una consulta o como deberíamos analizar cada escenario de un caso clínico","Nuestra seguridad de como llevar los casos clínicos ","Regular","De acuerdo","Completamente de acuerdo","De acuerdo","De acuerdo","Muy importante","A lo mejor seria hacer un kahoot cada fin de tema, para darnos cuenta en donde debemos reforzar nuestro estudio","Donde escucho o veo mejor","Buena estrategia","Comunicación;Concentración;Aprendizaje significativo;Participación","Que si uno llega tarde y un asiento este libre al otro extremo del salon, se distraiga un poco la clase"
"2024/03/17 4:22:46 p. m. GMT-6","Acepto","442-1","Femenino","20","","4 Buena","4 Buena","3 Regular","5 Excelente","4 Buena","4 Buena","3 Regular","4 Buena","2 Mala","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","Completamente de acuerdo","El tener una actividad práctica con observaciones del profesor y compañeros en un lugar seguro sin tener que practicar en pacientes hace que los estudiantes sintamos mayor seguridad a equivocarnos y a ser corregidos ","La falta de conocimientos de los protocolos, al no haberlos visto mas que en teoría a la hora de practicar carecemos de ese conocimiento","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde no me cause estrés","Debido a mi ansiedad, el estar en espacios cerrados me puede llegar a afectar, pero el evitar los lugares que me incomodan ayuda","Comunicación;Compañerismo;Discusión grupal;Participación","No puedo tomar notas como me gustaria"
"2024/03/17 6:10:16 p. m. GMT-6","Acepto","442-1","Femenino","20","","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","3 Regular","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","Completamente de acuerdo","Me parece que el crear simulaciones donde se nos presenta un caso y tenemos que como equipo realizar un diagnostico como se haria en el are a de trabajo como tal es de gran ayuda ya que desde un principio se nos esta preparando a implementar nuestros conocimientos para llegar a un diagnostico y en ciertos casos llegar a aprender como tratar situaciones dificiles con los pacientes.","La falta de imaginación, uno al hacer la simulacion con los compañeros llega a olvidar que deberia de actuar desde ese momento como lo haria en un hospital de verdad.","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Me da igual","Comunicación;Discusión grupal;Participación","No tiene que ver con la cercania con los compañeros, pero el estar en sillas y no en mesabancos en lo personal me dificulta el tomar notas."
"2024/03/17 6:27:54 p. m. GMT-6","Acepto","441-3","Masculino","24","","4 Buena","4 Buena","3 Regular","4 Buena","1 Muy mala","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Es buena idea ","La falta de equipo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Ninguno"
"2024/03/17 6:36:33 p. m. GMT-6","Acepto","442-1","Masculino","20","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","4 Buena","5 Excelente","5 Excelente","3 Regular","5 Excelente","Completamente de acuerdo","Por que es una forma de retroalimentar lo aprendido en los libros y clase ademas de otra forma de ver las cosas aparte de las lecturas ","Yo diría la falta de herramientas en las instalaciones que sirvan para llevar acabo una buena simulación ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde me concentro más","Excelente idea, me encanta","Comunicación;Motivación;Concentración;Aprendizaje significativo;Discusión grupal;Participación","Dependiendo de los compañeros ya que hay unos que estan metidos en la clase y otros que hablan de otra cosa y desconcentran"
"2024/03/17 6:41:54 p. m. GMT-6","Acepto","441-1","Femenino","20","","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","3 Regular","4 Buena","Completamente de acuerdo","En lo personal me resulta más fácil comprender la información teórica por medio de las simulaciones/prácticas que se llevan a cabo","Quizás la falta de herramientas en las instalaciones ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","No, todo me parece perfecto ","Donde escucho o veo mejor","Me da igual","Concentración;Discusión grupal","Quizás las distracciones que puedan surgir "
"2024/03/17 7:29:38 p. m. GMT-6","Acepto","441-2 ","Femenino","20","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","ayuda a adentrarnos un poco mas en el ambiente clínico y a confiar en nosotros a la hora de tomar decisiones con el paciente","el equipamiento","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","El Doc Ontiveros es el mejor, mis respetos para el","Donde escucho o veo mejor","Excelente idea, me encanta","Comunicación;Aprendizaje significativo;Compañerismo;Discusión grupal","me da pena ir al baño y tener que interrumpir a los demás"
